supermarket,no_of_items,variation,total,paid,change,type,food,snack,beverage,consumables,high_end,asset,fixed_asset,date,mall,time,time_type,type_market,location,loc_category,day,day_type,24hr,day_1,month,year,hour,item_no_cat,total_cat,paid_cat,change_cat,datetime,cluster
eastmatt,1,1,98.0,98,0.0,card,no,no,no,no,no,yes,no,2017-06-14 00:00:00,no,08:56:00,morning,chain,cbd,mid,Thursday,weekday,no,14,6,2017.0,8,A,1,1,1,2017-06-14 08:56:00,1
tuskys,3,3,395.0,395,0.0,card,no,yes,yes,no,yes,no,no,2017-06-17 00:00:00,no,18:23:00,evening,chain,cbd,mid,saturday,weekend,no,17,6,2017.0,18,B,1,1,1,2017-06-17 18:23:00,1
nakumatt,5,4,424.0,424,0.0,card,no,yes,yes,no,yes,yes,no,2017-06-17 00:00:00,no,17:08:00,evening,chain,karen,high,saturday,weekend,no,17,6,2017.0,17,B,1,1,1,2017-06-17 17:08:00,1
nakumatt,2,2,115.0,115,0.0,mpesa,no,no,yes,yes,no,no,no,2017-06-22 00:00:00,no,07:25:00,morning,chain,cbd,mid,Thursday,weekday,yes,22,6,2017.0,7,A,1,1,1,2017-06-22 07:25:00,1
nakumatt,2,2,525.0,525,0.0,mpesa,yes,no,no,yes,no,no,no,2017-06-23 00:00:00,no,23:17:00,night,chain,cbd,mid,Friday,weekday,yes,23,6,2017.0,23,A,1,1,1,2017-06-23 23:17:00,1
zucchini,4,2,1226.0,1226,0.0,card,yes,no,no,no,yes,no,no,2017-07-13 00:00:00,yes,08:27:00,morning,chain,junction,mid,Thursday,weekday,no,13,7,2017.0,8,B,1,1,1,2017-07-13 08:27:00,1
tuskys,16,5,2835.0,3000,165.0,cash,yes,yes,yes,yes,yes,no,no,2017-06-01 00:00:00,yes,13:05:00,afternoon,chain,greenspan,mid,Thursday,weekday,no,1,6,2017.0,13,B,3,5,1,2017-06-01 13:05:00,1
tuskys,21,5,12475.0,12475,0.0,card,yes,yes,yes,yes,yes,no,no,2017-07-10 00:00:00,no,21:36:00,night,chain,cbd,mid,Monday,weekday,no,10,7,2017.0,21,B,6,8,1,2017-07-10 21:36:00,1
tuskys,22,5,3834.0,4000,166.0,cash,yes,yes,yes,yes,yes,no,no,2017-06-18 00:00:00,no,10:09:00,morning,chain,eastlands,mid,Sunday,weekend,no,18,6,2017.0,10,B,5,7,1,2017-06-18 10:09:00,1
nakumatt,2,3,1130.0,1130,0.0,mpesa,no,no,no,yes,yes,yes,no,2017-08-22 00:00:00,yes,18:50:00,evening,chain,junction,mid,Tuesday,weekday,no,22,8,2017.0,18,A,1,1,1,2017-08-22 18:50:00,1
nakumatt,4,4,1359.0,1359,0.0,mpesa,yes,yes,yes,no,yes,no,no,2017-04-07 00:00:00,no,20:16:00,night,chain,cbd,mid,Friday,weekday,yes,7,4,2017.0,20,B,1,1,1,2017-04-07 20:16:00,1
nakumatt,3,3,388.0,388,0.0,card,no,yes,no,no,yes,yes,no,2017-05-29 00:00:00,yes,11:30:00,morning,chain,prestige,high,Monday,weekday,no,29,5,2017.0,11,B,1,1,1,2017-05-29 11:30:00,1
naivas,17,5,2806.0,3000,194.0,cash,yes,yes,yes,yes,yes,no,no,2017-05-23 00:00:00,no,14:09:00,afternoon,chain,ruaraka,mid,Tuesday,weekday,no,23,5,2017.0,14,B,3,5,1,2017-05-23 14:09:00,1
nakumatt,14,5,2183.0,2183,0.0,card,yes,yes,yes,no,yes,yes,no,2017-01-15 00:00:00,no,18:09:00,evening,chain,mega,mid,Sunday,weekend,no,15,1,2017.0,18,B,4,1,1,2017-01-15 18:09:00,1
nakumatt,1,1,1250.0,1250,0.0,mpesa,no,no,no,yes,no,no,no,2017-08-28 00:00:00,yes,21:03:00,night,chain,junction,mid,Monday,weekday,no,28,8,2017.0,21,A,1,1,1,2017-08-28 21:03:00,1
tuskys,21,5,12475.0,12475,0.0,card,yes,yes,yes,yes,yes,no,no,2017-07-10 00:00:00,no,21:36:00,night,chain,cbd,mid,monday,weekday,no,10,7,2017.0,21,B,6,8,1,2017-07-10 21:36:00,1
tuskys,22,5,3834.0,4000,166.0,cash,yes,yes,yes,yes,yes,no,no,2017-06-18 00:00:00,no,10:09:00,morning,chain,eastlands,mid,Sunday,weekend,no,18,6,2017.0,10,B,5,7,1,2017-06-18 10:09:00,1
acacia,12,1,2024.0,2024,0.0,mpesa,yes,yes,yes,no,yes,no,no,2017-08-12 00:00:00,no,18:25:00,evening,small,saika,mid,saturday,weekend,no,12,8,2017.0,18,B,4,1,1,2017-08-12 18:25:00,1
nakumatt,2,2,725.0,725,0.0,mpesa,no,yes,no,no,no,yes,no,2017-07-21 00:00:00,yes,22:01:00,night,chain,junction,high,Friday,weekday,yes,21,7,2017.0,22,A,1,1,1,2017-07-21 22:01:00,1
zucchini,18,1,2654.71,2655,0.0,credit card,yes,no,no,no,no,no,no,2017-07-11 00:00:00,yes,19:54:00,night,chain,junction,high,Tuesday,weekday,no,11,7,2017.0,19,B,3,4,1,2017-07-11 19:54:00,1
tuskys,8,3,965.0,965,0.0,credit card,yes,yes,no,yes,no,no,no,2017-06-15 00:00:00,yes,20:11:00,night,chain,donholm,mid,Thursday,weekday,no,15,6,2017.0,20,B,1,1,1,2017-06-15 20:11:00,1
tuskys,11,3,3895.0,3895,0.0,credit card,yes,no,no,yes,no,yes,no,2017-06-15 00:00:00,yes,20:46:00,night,chain,donholm,mid,Thursday,weekday,no,15,6,2017.0,20,B,5,7,1,2017-06-15 20:46:00,1
nakumatt,3,2,410.0,410,0.0,mpesa,yes,no,yes,no,no,no,no,2017-05-23 00:00:00,no,16:28:00,evening,chain,cbd,mid,Tuesday,weekday,yes,23,5,2017.0,16,B,1,1,1,2017-05-23 16:28:00,1
nakumatt,5,1,2450.0,2450,0.0,mpesa,no,no,no,yes,no,no,no,2017-08-03 00:00:00,yes,20:18:00,night,chain,junction,high,Thursday,weekday,no,3,8,2017.0,20,B,2,4,1,2017-08-03 20:18:00,1
nakumatt,3,1,300.0,300,0.0,mpesa,yes,no,no,no,no,no,no,2017-07-09 00:00:00,yes,14:23:00,afternoon,chain,junction,high,Sunday,weekend,no,9,7,2017.0,14,B,1,1,1,2017-07-09 14:23:00,1
nakumatt,4,1,526.0,526,0.0,mpesa,yes,no,no,no,no,no,no,2015-11-12 00:00:00,yes,17:10:00,evening,chain,junction,high,Thursday,weekday,no,12,11,2015.0,17,B,1,1,1,2015-11-12 17:10:00,1
tuskys,5,3,331.0,331,0.0,mpesa,yes,yes,no,yes,no,no,no,2017-06-04 00:00:00,yes,13:12:00,afternoon,chain,donholm,mid,Sunday,weekday,no,4,6,2017.0,13,B,1,1,1,2017-06-04 13:12:00,1
tuskys,2,3,1230.0,1230,0.0,mpesa,yes,no,no,yes,yes,no,no,2017-06-15 00:00:00,no,19:26:00,night,chain,cbd,mid,Thursday,weekday,no,15,6,2017.0,19,A,1,1,1,2017-06-15 19:26:00,1
nakumatt,2,3,516.0,516,0.0,card,yes,no,yes,no,yes,no,no,2017-07-17 00:00:00,yes,21:00:00,night,chain,junction,mid,Monday,weekday,no,17,7,2017.0,21,A,1,1,1,2017-07-17 21:00:00,1
