supermarket,no_of_items,variation,total,paid,change,type,food,snack,beverage,consumables,high_end,asset,fixed_asset,date,mall,time,time_type,type_market,location,loc_category,day,day_type,24hr,day_1,month,year,hour,item_no_cat,total_cat,paid_cat,change_cat,datetime,cluster
karrymart,1,1,50.0,100,50.0,cash,yes,no,no,no,no,no,no,2017-05-23 00:00:00,no,05:54:00,night,small,cbd,mid,tuesday,weekday,yes,23,5,2017.0,5,A,1,1,1,2017-05-23 05:54:00,0
karrymart,2,2,120.0,200,80.0,cash,yes,no,yes,no,no,no,no,2017-05-23 00:00:00,no,14:32:00,afternoon,small,cbd,mid,tuesday,weekday,yes,23,5,2017.0,14,A,1,1,1,2017-05-23 14:32:00,0
karrymart,1,1,102.0,105,3.0,cash,yes,no,no,no,no,no,no,2017-05-23 00:00:00,no,06:25:00,morning,small,cbd,mid,tuesday,weekday,yes,23,5,2017.0,6,A,1,1,1,2017-05-23 06:25:00,0
karrymart,1,1,60.0,100,40.0,cash,no,yes,no,no,no,no,no,2017-05-23 00:00:00,no,05:41:00,morning,small,cbd,mid,tuesday,weekday,yes,23,5,2017.0,5,A,1,1,1,2017-05-23 05:41:00,0
karrymart,2,1,155.0,200,45.0,cash,yes,no,no,no,no,no,no,2017-05-23 00:00:00,no,05:40:00,morning,small,cbd,mid,tuesday,weekday,yes,23,5,2017.0,5,A,1,1,1,2017-05-23 05:40:00,0
karrymart,2,2,100.0,200,100.0,cash,yes,yes,no,no,no,no,no,2017-05-23 00:00:00,no,06:13:00,morning,small,cbd,mid,tuesday,weekday,yes,23,5,2017.0,6,A,1,1,1,2017-05-23 06:13:00,0
karrymart,1,1,25.0,100,75.0,cash,no,no,yes,no,no,no,no,2017-05-23 00:00:00,no,06:38:00,morning,small,cbd,mid,tuesday,weekday,yes,23,5,2017.0,6,A,1,1,1,2017-05-23 06:38:00,0
karrymart,2,1,100.0,200,100.0,cash,no,yes,no,no,no,no,no,2017-05-23 00:00:00,no,18:44:00,afternoon,small,cbd,mid,tuesday,weekday,yes,23,5,2017.0,18,A,1,1,1,2017-05-23 18:44:00,0
karrymart,1,1,60.0,100,40.0,cash,no,yes,no,no,no,no,no,2017-05-23 00:00:00,no,05:57:00,morning,small,cbd,mid,tuesday,weekday,yes,23,5,2017.0,5,A,1,1,1,2017-05-23 05:57:00,0
karrymart,2,1,88.0,100,12.0,cash,no,yes,no,no,no,no,no,2017-05-23 00:00:00,no,07:34:00,morning,small,cbd,mid,tuesday,weekday,yes,23,5,2017.0,7,A,1,1,1,2017-05-23 07:34:00,0
